text,start_time,start_time_minutes,start_time_seconds,end_time,end_time_minutes,end_time_seconds,lang_number
"

uh reiterating what jason said do you


",0.08,00,00.080,1.67,00,01.670,21
"have a tail hole for pants or does it
",1.68,00,01.680,3.669,00,03.669,21
"just flop over the top


",3.679,00,03.679,5.349,00,05.349,21
"well i don't usually wear pants uh i
",5.359,00,05.359,8.07,00,08.070,21
"don't usually wear pins


",8.08,00,08.080,9.589,00,09.589,21
"these pj pants are just extra special to
",9.599,00,09.599,11.91,00,11.910,21
"me but for the most part i mean


",11.92,00,11.920,13.749,00,13.749,21
"i don't i don't wear pants because
",13.759,00,13.759,18.35,00,18.350,21
"

[Music]


",18.36,00,18.360,20.87,00,20.870,21
"listen okay if i gave you the option to
",20.88,00,20.880,23.189,00,23.189,21
"not have to wear pants would you


",23.199,00,23.199,27.109,00,27.109,21
"let me rephrase that if you could get
",27.119,00,27.119,29.75,00,29.750,21
"away with not wearing pants


",29.76,00,29.760,31.669,00,31.669,21
"would you yes
",31.679,00,31.679,37.43,00,37.430,21
"

yes you would


",37.44,00,37.440,38.8,00,38.800,21
"[Music]
",38.81,00,38.810,40.869,00,40.869,21
"so for the most part i don't wear pants


",40.879,00,40.879,43.91,00,43.910,21
"because
",43.92,00,43.920,44.79,00,44.790,21
"why bother why bother getting pants that


",44.8,00,44.800,48.15,00,48.150,21
"you just have to cut a hole into
",48.16,00,48.160,50.15,00,50.150,21
"when you can just wear a skirt or


",50.16,00,50.160,52.31,00,52.310,21
"nothing at all
",52.32,00,52.320,56.83,00,56.830,21
"

see smart


",56.84,00,56.840,59.59,00,59.590,21
"these are cold though ever
",59.6,00,59.600,63.67,01,03.670,21
"toughen up


",63.68,01,03.680,67.59,01,07.590,21
"yeah i know sands are stupid
",67.6,01,07.600,70.789,01,10.789,21
"and pants pan pants band pants


",70.799,01,10.799,74.71,01,14.710,21
"fan pants
",74.72,01,14.720,80.56,01,20.560,21
