text,start_time,start_time_minutes,start_time_seconds,end_time,end_time_minutes,end_time_seconds,lang_number
"「ズボンにしっぽを通す穴があるの？」


",1.666,00,01.666,3.375,00,03.375,44
"「それとも、ただしっぽが飛び出てるの？」
",3.375,00,03.375,4.833,00,04.833,44
"実は私、ズボンは履かない


",5.5,00,05.500,7.166,00,07.166,44
"普段、ズボンは履かない
",8.166,00,08.166,9.666,00,09.666,44
"このパジャマのズボンが特別なのであって、


",9.791,00,09.791,12.25,00,12.250,44
"ほとんどの場合
",12.333,00,12.333,13.791,00,13.791,44
"うん、ズボンは履かない


",13.916,00,13.916,15.375,00,15.375,44
"なぜなら、それはー
",15.375,00,15.375,16.833,00,16.833,44
"分かった、聞いて


",21.0,00,21.000,21.833,00,21.833,44
"ズボンを履かなくてもいいとしたら、履く？
",21.833,00,21.833,25.587,00,25.587,44
"別の言い方をしよう


",27.291,00,27.291,28.869,00,28.869,44
"ズボンを履かないで外に出てもいいとしたら
",29.25,00,29.250,31.791,00,31.791,44
"履かないでしょ？


",31.791,00,31.791,33.958,00,33.958,44
"そう、
",33.958,00,33.958,35.166,00,35.166,44
"でしょ！履かないでしょ！


",37.5,00,37.500,39.541,00,39.541,44
"だからー
",40.958,00,40.958,42.458,00,42.458,44
"私はほとんどズボンを履かない


",42.541,00,42.541,44.843,00,44.843,44
"だって面倒じゃん
",44.958,00,44.958,45.875,00,45.875,44
"何でいちいちズボンを履くの？穴も空けないといけないのに


",46.0,00,46.000,50.041,00,50.041,44
"それならスカートを履くか
",50.333,00,50.333,52.333,00,52.333,44
"何も履かなければいいのに


",52.333,00,52.333,53.208,00,53.208,44
"そうでしょ？
",56.208,00,56.208,56.875,00,56.875,44
"賢いでしょ


",57.958,00,57.958,58.958,00,58.958,44
"足が寒そうだって？
",59.666,00,59.666,61.291,01,01.291,44
"ええと...


",61.291,01,01.291,62.375,01,02.375,44
"耐えろ！
",63.791,01,03.791,65.0,01,05.000,44
"そう、ズボンはゴミなんだ


",67.708,01,07.708,70.833,01,10.833,44
"ーズボンを禁止しろ！
",71.0,01,11.000,71.875,01,11.875,44
