text,start_time,start_time_minutes,start_time_seconds,end_time,end_time_minutes,end_time_seconds,lang_number
"​​​ ​余だぞ！​ ​​


",1.285,00,01.285,2.086,00,02.086,44
"​​​ ​春が来てすっかりポカポカだな！​ ​​
",2.086,00,02.086,4.088,00,04.088,44
"​​​ ​しゃけ！​ ​​


",4.088,00,04.088,4.755,00,04.755,44
"​​​ ​だがこの時期はつい怠けてしまう！​ ​​
",4.755,00,04.755,6.89,00,06.890,44
"​​​ ​クマ！​ ​​


",6.89,00,06.890,7.458,00,07.458,44
"​​​ ​今日はそんな怠けた者に喝を入れようと思う！​ ​​
",7.458,00,07.458,10.294,00,10.294,44
"​​​ ​鬼らしくビシバシ行くぞ！​ ​​


",10.294,00,10.294,11.862,00,11.862,44
"​​​ ​では参る！​ ​​
",11.862,00,11.862,12.863,00,12.863,44
"​​​ ​あーー、なんもやる気出なーい​ ​​


",12.863,00,12.863,14.665,00,14.665,44
"​​​ ​鬼はぁーーーーーーうち！！​ ​​
",14.665,00,14.665,16.5,00,16.500,44
"​​​ ​ぎゃああああ！！​ ​​


",15.766,00,15.766,16.5,00,16.500,44
"​​​ ​きさま！怠けているなッ！​ ​​
",17.167,00,17.167,18.635,00,18.635,44
"​​​ ​急になに！？​ ​​


",18.635,00,18.635,19.603,00,19.603,44
"​​​ ​5月病患者を治しに来た！​ ​​
",19.603,00,19.603,21.572,00,21.572,44
"​​​ ​やる気出せぇ！​ ​​


",21.572,00,21.572,22.406,00,22.406,44
"​​​ ​情報多すぎんだろ！！​ ​​
",22.406,00,22.406,23.774,00,23.774,44
"​​​ ​これでもくらえ！​ ​​


",23.774,00,23.774,24.708,00,24.708,44
"​​​ ​にょわーー！まめ！​ ​​
",24.708,00,24.708,25.843,00,25.843,44
"​​​ ​撤退だ！​ ​​


",26.176,00,26.176,27.077,00,27.077,44
"​​​ ​まったく、なんだったんだ​ ​​
",27.077,00,27.077,28.612,00,28.612,44
"​​​ ​どうだった？​ ​​


",28.612,00,28.612,29.446,00,29.446,44
"​​​ ​やかましいわ！​ ​​
",29.446,00,29.446,30.347,00,30.347,44
"​​​ ​うぐぅうううう！！​ ​​


",30.347,00,30.347,31.015,00,31.015,44
"​​​ ​なになになにぃ！？​ ​​
",31.015,00,31.015,32.016,00,32.016,44
"​​​ ​こんなこともあろうかと​ ​​


",32.016,00,32.016,33.484,00,33.484,44
"​​​ ​ロボ子さんをオーバーヒートさせておいたのさ！​ ​​
",33.484,00,33.484,35.953,00,35.953,44
"​​​ ​どんな想定だよ！​ ​​


",35.953,00,35.953,37.187,00,37.187,44
"​​​ ​室内温度上昇！室内温度上昇！​ ​​
",37.187,00,37.187,39.923,00,39.923,44
"​​​ ​身体が熱い！これが、恋！？​ ​​


",39.923,00,39.923,42.059,00,42.059,44
"​​​ ​あいつの仕業だよ！​ ​​
",42.059,00,42.059,43.193,00,43.193,44
"​​​ ​あ、暑い！このままじゃ！​ ​​


",43.193,00,43.193,44.995,00,44.995,44
"​​​ ​ふはははは！かかったな！​ ​​
",44.995,00,44.995,46.797,00,46.797,44
"​​​ ​この暑さの中じゃだらだら出来ぬだろう！​ ​​


",46.797,00,46.797,49.066,00,49.066,44
"​​​ ​あちゅーーーい！！​ ​​
",49.066,00,49.066,50.501,00,50.501,44
"​​​ ​愚かな…​ ​​


",49.666,00,49.666,50.501,00,50.501,44
"​​​ ​策士策に溺れるとはこのこと​ ​​
",50.501,00,50.501,52.536,00,52.536,44
"​​​ ​このままじゃ暑さで2人ともやられる！​ ​​


",52.536,00,52.536,54.738,00,54.738,44
"​​​ ​ダジャレを言うと止まるぞ！​ ​​
",54.738,00,54.738,56.006,00,56.006,44
"​​​ ​塩にしおっかな！​ ​​


",56.006,00,56.006,57.174,00,57.174,44
"​​​ ​あっはっはっは！​ ​​
",57.174,00,57.174,58.142,00,58.142,44
"​​​ ​ウケてるやつがいる！​ ​​


",58.142,00,58.142,59.376,00,59.376,44
"​​​ ​さ、さむぅ…​ ​​
",59.376,00,59.376,60.511,01,00.511,44
"​​​ ​と、取り敢えずどうにか止まった​ ​​


",62.346,01,02.346,64.381,01,04.381,44
"​​​ ​どうだった？​ ​​
",64.381,01,04.381,65.349,01,05.349,44
"​​​ ​おいでおいで​ ​​


",65.349,01,05.349,66.383,01,06.383,44
"​​​ ​なになに～​ ​​
",66.383,01,06.383,66.917,01,06.917,44
"​​​ ​鬼はぁーーそと！！​ ​​


",66.917,01,06.917,68.852,01,08.852,44
"​​​ ​わあああああああ！！​ ​​
",67.785,01,07.785,68.485,01,08.485,44
